2025-06-11 16:16:23 2025-06-11 13:16:23,490 |jsse-nio-8443-exec-6 |LoginWorker                   |W| Received a null Security object from HttpServletRequest
2025-06-11 16:16:23 2025-06-11 13:16:23,495 |jsse-nio-8443-exec-6 |ControlServlet                |T| [[[cancelCheckRunPayments(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2025-06-11 16:16:23 2025-06-11 13:16:23,584 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.016s, 508 requests, 240 views in file:/ofbiz/applications/accounting/webapp/accounting/WEB-INF/controller.xml
2025-06-11 16:16:23 2025-06-11 13:16:23,602 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.002s, 48 requests, 22 views in file:/ofbiz/framework/common/webcommon/WEB-INF/common-controller.xml
2025-06-11 16:16:23 2025-06-11 13:16:23,627 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/ofbiz/framework/common/webcommon/WEB-INF/handlers-controller.xml
2025-06-11 16:16:23 2025-06-11 13:16:23,646 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 0 views in file:/ofbiz/applications/commonext/webapp/WEB-INF/controller.xml
2025-06-11 16:16:23 2025-06-11 13:16:23,648 |jsse-nio-8443-exec-6 |JWTManager                    |I| Internal single sign on is disabled.
2025-06-11 16:16:23 2025-06-11 13:16:23,784 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:23 2025-06-11 13:16:23,885 |jsse-nio-8443-exec-6 |CommonPermissionServices      |I| Checking for alternate permission ACCOUNTING_ROLE_UPDATE
2025-06-11 16:16:23 2025-06-11 13:16:23,888 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [103] milliseconds
2025-06-11 16:16:23 2025-06-11 13:16:23,889 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgPaymentPermissionCheck] finished in [170] milliseconds
2025-06-11 16:16:23 2025-06-11 13:16:23,893 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:23 2025-06-11 13:16:23,894 |jsse-nio-8443-exec-6 |CommonPermissionServices      |I| Checking for alternate permission ACCOUNTING_ROLE_UPDATE
2025-06-11 16:16:23 2025-06-11 13:16:23,895 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [2] milliseconds
